Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,hourly,employer_provided,min_salary,max_salary,avg_salary,python,azure,r studio,sql,hadoop,spark,java,sas,tableau,hive,scala,aws,tensorflow,c++,matlab,excel
Data Scientist,$80K - $120K (Glassdoor Est.),"job no: 516599
work type: permanent - full time
location: vic
join cleanaway – make positive impact to the environment and australia!
cleanaway is australia’s largest waste management organisation and we have been around in australia for over 50 years, delivering solutions that offer extraordinary benefits not just for our customers, but for our communities and environment we live in.
you have probably seen us around in our blue trucks, collecting your rubbish, but we do so much more than that!
we are looking for a data scientist to join our team in a full-time role to work on challenging and unique problems. we value diversity (having over 80 nationalities) and recognise the benefit inclusion brings both to us as a company, as well to our individual employees within cleanaway.",3.3,"Cleanaway
3.3",Melbourne,0,0,80000.0,120000.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position – Data Scientist,$80K - $155K (Glassdoor Est.),"location – sydney and digital / remote
experience – minimum 8 years
we are looking for a candidate with good command over r / python and in-depth knowledge and experience in machine learning, deep learning methods, algorithm design, analysis, development, and performance improvement. strong understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering, classification, regression techniques, recommendation (collaborative filtering) algorithms and time series analysis.

we are eager to hear from you if you have one of the below mentioned skills. send us your resume at careers@robonomics.ai",4.6,"Robonomics AI
4.6",Sydney,0,0,80000.0,155000.0,117500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geospatial data scientist/developer,Employer Provided Salary:$106K - $115K,"acknowledgement of country
csiro acknowledges the traditional owners of the land, sea and waters, of the area that we live and work on across australia. we acknowledge their continuing connection to their culture and pay our respects to their elders past and present. view our vision towards reconciliation
child safety
csiro is committed to the safety and wellbeing of all children and young people involved in our activities and programs. view our child safe policy.
the opportunity",4.1,"CSIRO
4.1",Brisbane,0,1,106000.0,115000.0,110500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,$80K - $128K (Glassdoor Est.),"a new role = a new way to win together

you belong at coles group where we look ahead, have a plan, and are up for the challenge. we learn and grow by taking career-defining opportunities and this one may just be your next.

senior data scientist

if you’re looking for a fresh start, you’ve come to the right place. we’re a large and iconic portfolio of trusted australian brands – which means there are always exciting challenges and career opportunities waiting for you.",3.6,"Coles Supermarkets
3.6",Hawthorn East,0,0,80000.0,128000.0,104000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analytics Graduate,$89K - $98K (Glassdoor Est.),"at allianz, we care for all the things that make you, you. for feeling like you belong. for a place where learning never stops. for growing new skills and opening up exciting possibilities. for your curiosity to thrive and help transform an industry. and when life twists, there’s flex for balance and the support you need. so, come and share your ideas, give back and feel proud to be part of a company doing work that matters across climate change and mental health. let’s care for everyone’s tomorrow so we can create a better future together.
we know that flexible work comes in different forms, that’s why we’re embracing hybrid teams - enabling employees to maintain a balance of working both in the office and remote, supporting the needs of both the business and individual.

data analytics graduate | nsw – sydney
be supported to grow and develop your career
push the status quo",4.1,"Allianz Australia
4.1",Sydney,0,0,89000.0,98000.0,93500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist (R&D),$100K - $124K (Glassdoor Est.),"as a senior data scientist at mutinex, you build complex data models that will simplify marketing decision making for our customers. data is our product so your work is the forefront of the value we bring to our customers.

you will work in r&d team, working alongside them to ensure the core model and data flows are well architected, before building out a new team focused on improving insights generated by the models.

this role can be based in either sydney or melbourne with a hybrid working model.
the role
role responsibilities include:




you will work closely with the lead data scientist in our r&d team. initially you will be involved in onboarding customers and customer releases to to familiarise yourself with the core model and domain, then support the teams work to improve the model architecture and data flows.",,Mutinex,South Melbourne,0,0,100000.0,124000.0,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$95K - $150K (Glassdoor Est.),"about us:
the world needs smart food solutions that are friendly to the palate and the planet, but right now, plant-based and alternative protein products just don't stack up to the real thing.
and that's where nourish comes in.
our animal-free fats and oils make alternative proteins taste delicious. with our science, we can tailor flavour profiles that precisely reproduce the taste and mouthfeel of beef, chicken, fish, milk, cheese and beyond. products made with our fats are more than an alternative, they're a straight up improvement. backed by horizons ventures and main sequence ventures, nourish ingredients are a key player in the future of a smarter, more sustainable, and more diverse food system.",2.9,Nourish Ingredients,Sydney,0,0,95000.0,150000.0,122500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data & Analytics Opportunities | Canberra,$56K - $84K (Glassdoor Est.),"date: 4 jul 2023

location:
canberra, act, au

department: consulting

description:
deloitte flex - we recognise the importance of balance and embrace agility
buy and sell leave - purchase up to 6 weeks of extra annual leave
mentoring and development programs – receive support and coaching to progress your career

deloitte canberra predominantly focuses on the defence sector, federal government and the various intelligence communities and local private enterprises. you could be helping the military prepare their workforce for the next national emergency (conflict, bushfire, covid), delivering projects impacting australian society, influencing public policy, redesigning the way the australian space agency uses collective intelligence to solve issues at the national level, or be involved in developing competencies you can’t talk about, for secret organisations you’ve never heard of. the projects we work on in canberra have a lasting impact on the health, economy, defence and security of australia.

what will your typical day look like?

deloitte’s analytics & ai practice is a diverse team comprised of experts across strategy, insight advisory, data engineering, data science and automation. we have a dedicated focus on solving business problems for our clients. our services range from helping clients understand the potential of analytics & ai through to designing and implementing solutions. we constantly evaluate new technologies, experiment with new techniques and create leading-edge data and analytics assets that can be used by our clients and practitioners to drive success with analytics & ai.

you will be part of a close, collaborative team that identifies and builds solutions that are practical as well as visionary, and that make an impact that matters.

enough about us, let’s talk about you.

we’re looking for candidates with a combination of the following:

at least 4 years’ experience data engineering, feature engineering and/or model development using advanced statistical and machine learning techniques
demonstrable experience of one or more relevant programming languages e.g. python, r, julia
data engineering, software engineering, data governance, cloud computing (aws, azure, gcp) and project management skills will be highly desirable.
experience of different project life cycles and delivery methodologies (waterfall, scrum, agile)
experience with cloud services (amazon web services, microsoft azure or google cloud platform)
demonstrable experience working in a consulting environment or managing non-technical stakeholders
government (ideally federal government and defence) experience will be highly regarded
bachelor or ms degree in mathematics, statistics, engineering or similar quantitative disciplines.
australian citizenship required
federal government security clearance is highly desirable

why deloitte?

at deloitte, we focus our energy on interesting and impactful work. we’re always learning, innovating and setting the standard; making a positive difference to our clients and our society. we put coaching at the heart of what we do, helping our people grow their careers in any direction – whether it be up, moving into something new, or even moving across the world.

we embrace diversity, equity and inclusion. we have a diverse collection of people from different backgrounds, with different experiences, gender identities, abilities and thinking styles. what binds us together is a shared commitment to value everyone’s perspective and to cultivate inclusion; so that our work environment is a safe space we can all belong.

we prioritise flexibility and choice. at deloitte, you get trust on day 1. we know our people get their best work done when they’re in control of where and how they work, designing their work week around their client, team and personal commitments.

we help you live and work well. to support your personal and professional life, we offer a range of perks and benefits, including retail discounts, wellbeing leave, paid volunteering days, twelve flexible working options, market-leading parental leave and return to work support package.",4.0,"Deloitte
4.0",Canberra,0,0,56000.0,84000.0,70000.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Junior Data Analyst/Scientist,$70K - $126K (Glassdoor Est.),"the international institute of data & analytics (ida) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. ida offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
in data science and big data analytics, the ida creates enablers for:
leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;",4.1,International Institute of Data & Analytics,Sydney,0,0,70000.0,126000.0,98000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (12 Month Fixed Term Contract),$164K - $170K (Glassdoor Est.),"company description

are you ready to be a big part of something big?
at carsales, we're all about making buying and selling a great experience. for 25 years we’ve been evolving with the new economy to help people choose how they move today and tomorrow.
when it comes to your career, we want to provide big opportunities to help you make a big impact. but for this to be possible, we strive to feel small. small enough to quickly change tack, small enough to learn from different departments and small enough to connect authentically with leadership.
not something you’d expect from one of the country’s biggest tech companies, is it?",4.3,"carsales
4.3",Melbourne,0,0,164000.0,170000.0,167000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Data Scientist,Employer Provided Salary:$125.00 - $137.50 Per hour,"immediate – ai data scientist – aud 1100 + super – 12 months – nsw government project

role: ai data scientist
contract: 12 months
pay: $1000 – 1100 + super a day
hours: 8hr/day 40hr/week
location: sydney / hybrid

key responsibilities:
collaborate with cross-functional teams to develop a comprehensive understanding of our data needs.
develop / identify and implement innovative models.",5.0,"Talent Street
5.0",Australia,1,1,240000.0,264000.0,252000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$91K - $140K (Glassdoor Est.),"about the job data scientist
job description ﻿data scientist in perth:
required technical skill set - python, r, sql, shell scripting,, github/svn, teamcity or continuous integration tools, exposure to aws.

ability to work as part of a multidisciplinary team and develop and maintain relationships with internal and external stakeholders.

assist in the management of sprints and product backlog in an agile environment.

understanding in applying machine learning, deep learning, artificial intelligence, and/or advanced optimization algorithms.

exposure in developing data science projects which includes scoping, building, testing, implementation, maintenance, tracking and optimisation of models.

understanding of techniques such as time series analytics, regression, confidence interval, bayesian and monte carlo methods, chi-square distribution",5.0,"Pyramid Global Technologies
5.0",Perth,0,0,91000.0,140000.0,115500.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Machine Learning Engineer,Employer Provided Salary:$102K - $115K,"(heo8) $102,266 to $114,731 per annum plus an employer contribution of 17% superannuation applies.
offering a full-time, fixed term position for one year from date of commencement
be part of a world class, outcome-based education and training centre within a ‘group of eight’ university!
we are seeking a machine learning engineer to be part of aimls (australian institute for machine learning) award winning industry solutions team to develop machine learning algorithms, test, deliver and maintain software systems and work with leaders in artificial intelligence. the machine learning engineer will write production code, analyse data with machine learning algorithms, and work in a team to deliver machine learning systems.",3.9,"The University of Adelaide
3.9",Adelaide,0,1,102000.0,115000.0,108500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Research Statistician/Biostatistician,$81K - $128K (Glassdoor Est.),"the opportunity:
we have an opportunity available for a senior research statistician to join our research data science team. you will provide scientific expertise in the area of biostatistics for a broad array of applications in pre-clinical research, focusing on the design, conduct and analysis of in vivo, in vitro and observational studies with research aims including indication selection, drug design and lead candidate selection, assay development and validation, mechanism of action, establishment of animal models, efficacy and safety, and comparison of in-house and competitor drug candidates.
you will work closely with the global research data science group members and other csl colleagues to set and deliver on project objectives and to determine appropriate data generation, processing, and analysis strategies. you will also work alongside csl’s external collaborators to make recommendations on study design, execution and data analysis.",3.5,"CSL Behring
3.5",Melbourne,0,0,81000.0,128000.0,104500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$41K - $82K (Glassdoor Est.),"we are looking for a data scientist to drive and built innovative data science solutions for rozetta’s diverse range of clients. you’ll be an integral part of the team and engage with clients across a range of project. you are great at cultivating relationships both internally and externally to implement impactful solutions to real world challenges.
company overview
rozetta technology is a world-leading big data and advanced analytics information architecture company, and an advanced aws consulting partner. our systems provide the bedrock of scalable, robust, and reliable data-focused software platforms. our projects shift perspectives to provide understanding and purpose to what was once just data. we exist to create value for our customers and to affect positive change in business, industry, economy, and society.",4.5,RoZetta Technology,Sydney,0,0,41000.0,82000.0,61500.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Principal Data Scientist,$168K - $240K (Glassdoor Est.),"principal data scientist
506655
sydney (eora nation), nsw, australia
melbourne (kulin nation), vic, australia
data, analytics & statistics
wagering & media
permanent full-time",3.4,"Tabcorp
3.4",Sydney,0,0,168000.0,240000.0,204000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate | Machine Learning Engineer,$95K - $159K (Glassdoor Est.),"please submit your cv and cover letter to careers@mindhive.org.
machine learning engineer
to advance mindhive by developing algorithms to build models that uncover connections and make better decisions without human intervention. mindhive has started to reimagine intelligence. forming a global mind from the most unusual suspects, who were in it for the ideas, not the glory. and finding a way that technology could enhance human minds, not replace them.
more here: https://www.web.mindhive.org/careers
role
experimentation is at the core of what you do. the role is to work to turn business questions into data analysis effectively and provide meaningful recommendations. this unique hybrid role will focus on your data infrastructure knowledge and your ability to drive insights.",4.2,Mindhive,Brisbane,0,0,95000.0,159000.0,127000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Graduate | Data Science & Analytics [dm5j],Employer Provided Salary:$65K - $85K,"** this role is at asx (not for hatch)
hatch is supporting asx to find a great graduate | data science & analytics to join their data and analytics team. hatch exists to level the playing field for people as they discover a career that’s right for them. we model this in our hiring process for our partners like asx.
applying here is the first step in the hiring process for this role.
about the role at asx
your program will commence with an induction program, followed by your professional development, based on a three-phased building block approach of getting graduates established, building graduate competencies and rounding out with emerging graduate leaders. topics such personal brand, self-awareness, change & ambiguity, and critical thinking will help your career flourish. we will also upskill you in your financial markets knowledge, and support your further education in your chosen field.",4.0,"Hatch
4.0",Sydney,0,1,65000.0,85000.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate | Data Science & Insights [bda0],Employer Provided Salary:$65K - $85K,"** this role is at stockland (not for hatch)
hatch is supporting stockland to find a great graduate | data science & insights to join their data and analytics team. hatch exists to level the playing field for people as they discover a career that’s right for them. we model this in our hiring process for our partners like stockland.
applying here is the first step in the hiring process for this role.
about the role at stockland
as a data science & insights graduate, throughout your two years, you will contribute to a high performing team by conducting analysis and building business intelligence solutions to enhance business understanding of customer behaviours and needs, marketing performance, and data-driven decisions across all operational areas of the organisations.",4.0,"Hatch
4.0",Sydney,0,1,65000.0,85000.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,$100K - $124K (Glassdoor Est.),"we are seeking a data scientist to join our data science and engineering stream within data insights unit. the first thing you will work on is extending the development of our first attack suppression model with a new dataset we have developed to better understand the probability a fire is suppressed. this position will provide technical support to a variety of projects, including lightning strike ignition, first attack probability of suppression, aircraft effectiveness, and the remote detection of fires. the role will pitch and develop projects aligned with ffr's strategic priority of leveraging science, technology, and data analytics to enhance preparedness, response and recovery, efficiency, and effectiveness to reduce bushfire risk.
there are opportunities to undertake field work and nominate for an emergency management role.
about you
this role is well suited for a range of experiences with data science, applied statistics, operations research, and related fields. ideally you are enthusiastic about data and are someone who can see the big picture. you are a self-starter and an excellent communicator, and you love taking initiative and pioneering new and creative ideas. you are confident and comfortable working with ambiguity and uncertainty. you should have a tertiary qualification in data science, mathematics, statistics, economics, or related fields and experience applying that knowledge in a real-world setting.
this is a technical role and while we don't expect you to have experience with our entire technology stack, the successful candidate will have some experience with scientific research in a team environment.

ideally, we are looking for a candidate with solid technical skills who loves to solve problems. you might not always have domain knowledge of a problem, but you know how to ask questions, test a hypothesis, and explain the results.
about us
data insights is a multi-disciplinary specialised in-house data team, providing a range of centralised services, including business intelligence reporting, predictive analytics, and data management, to forest, fire and regions group and victoria's land and emergency management partner agencies. data insights is transforming the way forest, fire and regions group uses data to support its role in creating safe, liveable, inclusive, and sustainable communities, and thriving natural environments.
the team comprises a mix of data engineers, data scientists, analysts, and bi developers who work together to solve challenging problems in victoria's bushfire, emergency, and land management sector.
specialist/technical expertise/qualifications

this is ongoing. the work location for this position is flexible within victoria with hybrid work arrangements available.
to be considered for this position, applicants are encouraged to submit a resume and cover letter (no longer than 2 pages) summarising their skills and relevant experience.
for further information please refer to the attached position description.
applications close at midnight on monday, 31 july 2023.


preferred candidates will be required to undertake pre-employment screening, including a declaration and consent form and a national police check.
to be eligible for appointment to this role, applicants will possess corresponding work rights for the advertised employment period. appointment to an ongoing position is only available to an australian/new zealand citizen or an australian permanent resident.
a diverse, inclusive and flexible workplace
deeca welcomes applicants from a diverse range of backgrounds and we focus on the essential requirements of the job and being consistent and fair in our treatment of all applicants. we also understand that a balanced life is important to our employees. talk to us about our flexible options such as working some days from home, starting early or late, working part time, job sharing or accessing paid or unpaid leave.",4.0,"Department of Energy, Environment and Climate Action",Melbourne,0,0,100000.0,124000.0,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Graduate Program | Data Science & Analytics [xw39],Employer Provided Salary:$65K - $85K,"** this role is at capgemini (not for hatch)
hatch is supporting capgemini to find a great graduate program | data science & analytics to join their data and analytics team. hatch exists to level the playing field for people as they discover a career that’s right for them. we model this in our hiring process for our partners like capgemini.
applying here is the first step in the hiring process for this role.
about the role at capgemini
in the yearlong graduate program, you’ll be shown the ropes through foundation masterclasses, then depending on your skillset you’ll be off doing project work – it could be software development if that’s your jam, or organisational change management or business analysis if that’s what your skills are aligned to.",4.0,"Hatch
4.0",Sydney,0,1,65000.0,85000.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Vision/Machine Learning Developer,$80K - $119K (Glassdoor Est.),"revolutionize computer vision technology with a laser focus on delivering cutting-edge commercial applications in real-time, real-world settings.
seeking talented individuals experienced in real-time computer vision and image processing to work on innovative algorithms and products.
join a dynamic and upbeat workplace, with flexible hours and absolutely no unpaid overtime!
our office is located in port melbourne, a short distance from the melbourne cbd.
what you'll do:
develop and implement computer vision and/or machine learning algorithms to solve complex problems, using programming languages such as python, c++, or matlab.",4.5,"RunTime
4.5",Melbourne,0,0,80000.0,119000.0,99500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Associate Professor / Professor (Practice) - Artificial Intelligence and Data Science,Employer Provided Salary:$212K,"the opportunity
working alongside the director, the associate professor/professor of practice in artificial intelligence and data science will be responsible for delivering advanced ai and data science in support of the monash data futures institute research programs. this role will enrich the institute’s research program by undertaking advanced data science and ai, working with researchers across all faculties and campuses to identify opportunities for and support integration of research across thematic areas. this role will act as a conduit between universities, government and the business community.
the successful applicant will be responsible for, but not limited to:
leading the artificial intelligence and data science project deliverables and plans for the monash data futures institute",4.2,"Monash University
4.2",Clayton North,0,1,212000.0,212000.0,212000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Modeler,$120K - $148K (Glassdoor Est.),"company description

it all started with an idea at block in 2013. initially built to take the pain out of peer-to-peer payments, cash app has gone from a simple product with a single purpose to a dynamic ecosystem, developing unique financial products, including afterpay/clearpay, to provide a better way to send, spend, invest, borrow and save to our 47 million monthly active customers. we want to redefine the world’s relationship with money to make it more relatable, instantly available, and universally accessible.

today, cash app has thousands of employees working globally across office and remote locations, with a culture geared toward innovation, collaboration and impact. we’ve been a distributed team since day one, and many of our roles can be done remotely from the countries where cash app operates. no matter the location, we tailor our experience to ensure our employees are creative, productive, and happy.

check out our locations, benefits, and more at cash.app/careers.",3.7,"Afterpay
3.7",Melbourne,0,0,120000.0,148000.0,134000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - 3 month contract,$95K - $150K (Glassdoor Est.),"this is a 3 month contract with every chance to extend or potential convert into a permanent role.

if you're a data scientist with a passion for integrating modelling to new businesses. you thrive in deploying solutions to complex data. if this sounds like you, read on.

we are looking for both mid & senior data scientists so if you're a senior reading this and looking for a senior title & package, that's definitely on offer.
our data scientists also work alongside our research data science, data engineering , marketing science and r&d teams, to share and deliver their applied insights and ideas to help innovate and automate our model workflow and data pipelines.

maybe you are a data scientist with an interest in marketing, mmm or bayesian models that wants to explore and better connect our customers' domains to our product, growthos.

our customers are from a range of sectors including financial services, retail and fmcg and continuing to expand regularly.",,Mutinex,Sydney,0,0,95000.0,150000.0,122500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artificial Intelligence & Machine Learning Graduate February 2024,$76K - $135K (Glassdoor Est.),"sa, adelaide
software engineering
13570br
about us:
lockheed martin is a leader in australia's national security, and our collaboration with australian industry spans the aeronautics, maritime, surveillance and defence domains.

at lockheed martin, we apply our passion for purposeful innovation to keep people safe and solve the world's most complex challenges. every day, our employees come to work with one focus – our customers' missions. whether it's protecting citizens or advancing the boundaries of science, these missions are some of the most important and challenging in the world.",4.1,"Lockheed Martin Australia
4.1",Adelaide,0,0,76000.0,135000.0,105500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Data Scientist - Artificial Intelligence Engineer,Employer Provided Salary:$125.00 - $152.63 Per hour,"be a part of a pioneer ai program similar to chatgpt.
mostly wfh (visit the office once or twice a month);
$1000 to $1221 per day negotiable;
initial 12 months with strong prospect of renewal;
work on the very edge of latest technology;
enduser organization;

this team is almost a start up within a large, established end user organisation that is the biggest employer within the education sector in southern hemisphere.

they are building, from scratch, an artificial intelligence, deep learning chatbot similar to chatgpt and bing but only better!

you will be joining a friendly team of data scientists and experts to achieve this pinnacle through various milestones within the coming months and possibly years.

you will have extensive detailed commercial experience within data science which spans across highly sophisticated software development with the use of mathematical modelling, deep learning and statistical modelling as well as python or similar programming languages.

in addition, you will have experience within a form of artificial intelligence bot development, ideally gpt or bing / google, as well as detailed experience in the application of generative ai models.


essential skills (must be precisely demonstrated using bullet points under each position):
desirable but not essential experience:

if you meet the above criteria you will need to in order to secure a place in the shortlist for the interviews.

best option is to apply using the application button. you can contact us on (02) 9687 1068 for a confidential discussion. however please ensure you have sent your resume prior to making contact.",,Infinity Pro,Sydney,1,1,240000.0,293049.6,266524.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (6 month contract),$110K - $132K (Glassdoor Est.),"data scientist (6 month contract)
company
munich re
location
sydney , australia
munich reinsurance company of australasia limited (mra) is the apra authorised life insurer in australia. mra is part of the wider life asia pacific division, with its hub in singapore. the purpose of the business is to drive sustainable life insurance with our clients for our community.
the experience analysis and terms of trade produces biometric analyses of the life business experience using detailed knowledge of the life insurance market and actuarial practice. the vision of the team is to be seen as a key contributor of valuable insights which can be used to manage and drive the business to be more successful.",4.2,"Munich Re
4.2",Sydney,0,0,110000.0,132000.0,121000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
